Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,SleepScore,sleep_labels
12-10-2015,0,0,0,0,,NaN
13-10-2015,0,0,0,0,,NaN
14-10-2015,0,0,0,0,,NaN
15-10-2015,0,0,0,0,,NaN
16-10-2015,326,29,16,355,0.8366197183098592,2
17-10-2015,444,57,33,505,0.7663366336633664,2
18-10-2015,142,9,6,151,0.8807947019867549,1
19-10-2015,347,45,29,393,0.7684478371501272,2
20-10-2015,0,0,0,0,,NaN
21-10-2015,0,0,0,0,,NaN
22-10-2015,136,21,10,157,0.732484076433121,3
23-10-2015,209,14,6,223,0.874439461883408,1
24-10-2015,365,19,14,384,0.9010416666666666,0
25-10-2015,151,16,10,167,0.8083832335329342,2
26-10-2015,226,24,15,250,0.808,2
27-10-2015,405,44,23,449,0.8040089086859689,2
28-10-2015,276,28,14,304,0.8157894736842105,2
29-10-2015,0,0,0,0,,NaN
30-10-2015,155,8,5,163,0.901840490797546,0
31-10-2015,383,41,23,424,0.8066037735849056,2
01-11-2015,319,15,7,334,0.9101796407185628,0
02-11-2015,0,0,0,0,,NaN
03-11-2015,0,0,0,0,,NaN
04-11-2015,345,41,21,386,0.7875647668393783,2
05-11-2015,383,47,28,431,0.7795823665893271,2
06-11-2015,391,23,11,414,0.8888888888888888,1
07-11-2015,231,26,15,257,0.7976653696498055,2
08-11-2015,526,30,17,556,0.8920863309352518,1
09-11-2015,369,62,37,440,0.6977272727272728,3
10-11-2015,291,46,26,337,0.7270029673590505,3
11-11-2015,143,8,5,151,0.8940397350993378,1
12-11-2015,503,50,31,553,0.8191681735985533,2
13-11-2015,0,0,0,0,,NaN
14-11-2015,524,32,14,556,0.8848920863309353,1
15-11-2015,269,36,21,307,0.758957654723127,2
16-11-2015,0,0,0,0,,NaN
17-11-2015,378,32,23,410,0.8439024390243902,2
18-11-2015,424,31,24,462,0.8506493506493507,1
19-11-2015,353,33,26,386,0.8290155440414507,2
20-11-2015,444,46,25,490,0.8122448979591836,2
21-11-2015,0,0,0,0,,NaN
22-11-2015,0,0,0,0,,NaN
23-11-2015,244,32,16,276,0.7681159420289855,2
24-11-2015,0,0,0,0,,NaN
25-11-2015,69,2,1,71,0.9436619718309859,0
26-11-2015,0,0,0,0,,NaN
27-11-2015,325,22,17,348,0.8706896551724138,1
28-11-2015,404,43,32,448,0.8058035714285714,2
29-11-2015,328,33,22,362,0.8149171270718232,2
30-11-2015,352,37,24,397,0.7934508816120907,2
01-12-2015,275,31,14,306,0.7973856209150327,2
02-12-2015,398,44,33,442,0.8009049773755657,2
03-12-2015,271,37,21,308,0.7597402597402597,2
04-12-2015,0,0,0,0,,NaN
05-12-2015,268,8,4,276,0.9420289855072463,0
06-12-2015,196,19,7,215,0.8232558139534883,2
07-12-2015,232,11,6,243,0.9094650205761317,0
08-12-2015,0,0,0,0,,NaN
09-12-2015,318,38,31,369,0.7588075880758808,2
10-12-2015,0,0,0,0,,NaN
11-12-2015,0,0,0,0,,NaN
12-12-2015,464,58,35,522,0.7777777777777778,2
13-12-2015,279,21,20,303,0.8514851485148515,1
14-12-2015,321,39,21,361,0.7811634349030471,2
15-12-2015,242,12,6,254,0.905511811023622,0
16-12-2015,102,4,2,106,0.9245283018867925,0
17-12-2015,161,9,4,170,0.8941176470588236,1
18-12-2015,0,0,0,0,,NaN
19-12-2015,440,42,22,482,0.8257261410788381,2
20-12-2015,339,48,28,387,0.751937984496124,2
21-12-2015,388,16,10,404,0.9207920792079208,0
22-12-2015,419,19,11,438,0.91324200913242,0
23-12-2015,0,0,0,0,,NaN
24-12-2015,0,0,0,0,,NaN
25-12-2015,308,49,27,357,0.7254901960784313,3
26-12-2015,488,46,27,534,0.8277153558052435,2
27-12-2015,326,39,24,365,0.7863013698630137,2
28-12-2015,207,31,18,238,0.7394957983193278,3
29-12-2015,242,10,6,252,0.9206349206349206,0
30-12-2015,448,58,33,506,0.7707509881422925,2
31-12-2015,541,31,13,572,0.8916083916083916,1
01-01-2016,278,15,14,295,0.8915254237288136,1
02-01-2016,316,39,19,355,0.780281690140845,2
03-01-2016,0,0,0,0,,NaN
04-01-2016,380,52,31,432,0.7592592592592593,2
05-01-2016,297,31,19,328,0.8109756097560976,2
06-01-2016,354,43,22,397,0.783375314861461,2
07-01-2016,336,16,8,352,0.9090909090909091,0
08-01-2016,306,17,10,323,0.8947368421052632,1
09-01-2016,396,29,10,425,0.8635294117647059,1
10-01-2016,0,0,0,0,,NaN
11-01-2016,327,18,11,345,0.8956521739130435,1
12-01-2016,254,36,18,290,0.7517241379310344,2
13-01-2016,423,13,7,436,0.9403669724770642,0
14-01-2016,345,29,19,374,0.8449197860962567,2
15-01-2016,391,39,22,430,0.8186046511627907,2
16-01-2016,400,41,27,441,0.8140589569160998,2
17-01-2016,434,31,26,466,0.8648068669527897,1
18-01-2016,325,11,5,336,0.9345238095238095,0
19-01-2016,0,0,0,0,,NaN
20-01-2016,468,37,24,507,0.8500986193293886,1
21-01-2016,336,55,30,391,0.7186700767263428,3
22-01-2016,458,63,36,521,0.7581573896353166,2
23-01-2016,339,47,28,386,0.7564766839378239,2
24-01-2016,342,48,31,390,0.7538461538461538,2
25-01-2016,0,0,0,0,,NaN
26-01-2016,357,35,22,392,0.8214285714285714,2
27-01-2016,328,37,21,365,0.7972602739726027,2
28-01-2016,385,41,27,427,0.8056206088992974,2
29-01-2016,248,32,20,280,0.7714285714285715,2
30-01-2016,410,26,14,436,0.8807339449541285,1
31-01-2016,424,48,28,473,0.7949260042283298,2
05-02-2016,401,18,14,420,0.9119047619047619,0
06-02-2016,350,29,19,380,0.8447368421052631,2
07-02-2016,316,15,7,331,0.9093655589123867,0
08-02-2016,376,50,30,426,0.7652582159624414,2
09-02-2016,342,41,21,383,0.7859007832898173,2
10-02-2016,0,0,0,0,,NaN
11-02-2016,333,22,15,355,0.8760563380281691,1
12-02-2016,322,26,14,348,0.8505747126436781,1
13-02-2016,448,55,29,503,0.7813121272365805,2
14-02-2016,264,28,20,293,0.8054607508532423,2
15-02-2016,0,0,0,0,,NaN
16-02-2016,305,27,16,334,0.8323353293413174,2
17-02-2016,309,12,7,321,0.9252336448598131,0
18-02-2016,0,0,0,0,,NaN
19-02-2016,317,17,9,334,0.8982035928143712,1
